title	tags
Flags of Our Fathers 	[{'id': 1956, 'name': 'world war ii'}, {'id': 3737, 'name': 'dying and death'}, {'id': 8083, 'name': 'pacific'}, {'id': 161244, 'name': 'iwo jima'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 179431, 'name': 'duringcreditsstinger'}]
The Good Shepherd    	"[{'id': 212, 'name': 'london england'}, {'id': 220, 'name': 'berlin'}, {'id': 279, 'name': 'usa'}, {'id': 470, 'name': 'spy'}, {'id': 591, 'name': 'cia'}, {'id': 701, 'name': 'cuba'}, {'id': 1157, 'name': 'wife husband relationship'}, {'id': 1310, 'name': 'mentor'}, {'id': 1571, 'name': 'return'}, {'id': 2106, 'name': 'cold war'}, {'id': 2521, 'name': 'kongo'}, {'id': 2982, 'name': ""leaving one's family""}, {'id': 3278, 'name': 'kgb'}, {'id': 3321, 'name': 'childhood memory'}, {'id': 4183, 'name': 'wife'}, {'id': 4278, 'name': 'invasion'}, {'id': 5459, 'name': 'bay of pigs'}, {'id': 18035, 'name': 'family'}, {'id': 208349, 'name': 'child'}]"
Sunshine             	[{'id': 83, 'name': 'saving the world'}, {'id': 258, 'name': 'bomb'}, {'id': 1670, 'name': 'sun'}, {'id': 1826, 'name': 'space marine'}, {'id': 2725, 'name': 'sunlight'}, {'id': 3638, 'name': 'solar energy'}, {'id': 4040, 'name': 'space mission'}, {'id': 4627, 'name': 'earth'}, {'id': 5442, 'name': 'expiration'}]
